gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
ARM.2_1,Armenia,0.76743114517545,0.991175269215534,0.769,0.984,0.976,0.73,0.748,-0.22126519029140457,-0.1985364016165912,0.268218890765792,0.257343962307261
ARM.3_1,Armenia,0.7152272912432839,0.936029687399457,0.769,0.984,0.989,0.728,0.736,-0.18340152953381053,-0.09818206231640558,0.200009256469204,0.191548633363126
ARM.4_1,Armenia,0.9502903088193152,0.99829963481783,0.769,0.984,0.987,0.792,0.802,1.3319167043101132,2.7741568333530515,0.691671422807608,0.789612048911399
ARM.5_1,Armenia,0.825615533351682,0.889605182217893,0.769,0.984,0.975,0.719,0.737,-0.26318544153533513,-0.26594564056150843,0.262563075482564,0.286902988890779
ARM.6_1,Armenia,0.838404914413582,0.891550931084584,0.769,0.984,0.993,0.764,0.769,-0.2053941910822285,-0.2091746090417423,0.496211537726155,0.486118495789623
ARM.7_1,Armenia,0.835662006108214,0.941929877247723,0.769,0.984,0.996,0.742,0.745,-0.25406644277939155,-0.2516758147036934,0.479801648946384,0.470604255140792
ARM.8_1,Armenia,0.850382774860977,0.865626067956636,0.769,0.984,0.984,0.751,0.764,-0.2562096515160494,-0.23530578402275357,0.360311311840186,0.349171691397733
ARM.9_1,Armenia,0.914442689450497,1.01802906634894,0.769,0.984,0.99,0.752,0.759,-0.2580687994810848,-0.2791543437114857,0.395132725650657,0.361315539418216
ARM.10_1,Armenia,0.757266339823953,0.839835114270168,0.769,0.984,0.986,0.743,0.753,-0.2586576903141539,-0.26281115844510644,0.352462106015486,0.344582303462685
ARM.11_1,Armenia,0.879434945993258,1.16653155219389,0.769,0.984,0.981,0.748,0.762,-0.2650469987723246,-0.2844304496424178,0.377410195563904,0.365751049377574
BEN.1_1,Benin,0.0167273287735229,0.229079441704868,0.505,0.849,0.87,0.411,0.473,-0.26796384687535496,-0.26757391008004167,0.0091701005687714,0.0374586488720398
BEN.2_1,Benin,0.0406513062501116,0.387427946002529,0.505,0.849,0.855,0.442,0.517,-0.2672890136051087,-0.26208740985687706,0.0098148450059218,0.0411234967052847
BEN.3_1,Benin,0.118637954886604,0.387466554734727,0.505,0.849,0.889,0.587,0.661,-0.15445967710881164,0.12911948974390944,0.0283133085583013,0.0864962531408021
BEN.4_1,Benin,0.05044595604368,0.398122032598686,0.505,0.849,0.87,0.411,0.473,-0.2634456179357924,-0.25256214855144626,0.0276425891600407,0.102638945314945
BEN.5_1,Benin,0.025721910083056,0.13135137732865,0.505,0.849,0.857,0.494,0.577,-0.2657161322123425,-0.2529634954852915,0.0182709238862714,0.065358242165436
BEN.6_1,Benin,0.0279435909017107,0.176241454911033,0.505,0.849,0.855,0.442,0.517,-0.26495352370248926,-0.25301830713442514,0.0138682855992549,0.0618409115706686
BEN.7_1,Benin,0.0164380436610777,0.109613659757094,0.505,0.849,0.844,0.482,0.571,-0.25717363965620993,-0.00794253101389381,0.0045632117446007,0.0167912000563522
BEN.8_1,Benin,0.287257136293452,0.437680490175546,0.505,0.849,0.889,0.587,0.661,2.6595776063496936,8.376090624677513,0.364709234055452,1
BEN.9_1,Benin,0.04369411252247499,0.204510859815343,0.505,0.849,0.844,0.482,0.571,-0.2377567836214081,-0.00153760566169213,0.0203608323145796,0.0706655234479594
BEN.10_1,Benin,0.0765413679203135,0.319334945327143,0.505,0.849,0.888,0.524,0.591,-0.07449269243234208,0.5346978549164563,0.0526755326922923,0.173782308745488
BEN.11_1,Benin,0.0365975863199748,0.265334989906939,0.505,0.849,0.888,0.524,0.591,-0.25630964000871925,-0.11667193262499556,0.0128049764905815,0.0493448595344524
BEN.12_1,Benin,0.0387825972783988,0.167839100691537,0.505,0.849,0.857,0.494,0.577,-0.25401429013751814,-0.14030955391710462,0.0253718605045323,0.0929391876685678
BFA.1_1,Burkina Faso,0.0667426272976986,0.323987982002298,0.445,0.88,0.913,0.395,0.432,-0.2660091143131744,-0.25329993347878577,0.0301425308795425,0.0995576843888375
BFA.2_1,Burkina Faso,0.120145699779722,0.236441916716789,0.445,0.88,0.883,0.425,0.481,-0.2639897033334932,-0.24880580841676303,0.0538824085593461,0.181169796482779
BFA.7_1,Burkina Faso,0.37181791247906,0.573352877188765,0.445,0.88,0.938,0.633,0.676,0.09464652332067984,0.9629039236903524,0.342084605786841,0.685169211627509
BFA.3_1,Burkina Faso,0.124226159814874,0.249259419170099,0.445,0.88,0.923,0.422,0.457,-0.26311738613790225,-0.2008181027091172,0.0327255376824594,0.139669150486241
BFA.4_1,Burkina Faso,0.0431369254002869,0.200011919368935,0.445,0.88,0.921,0.386,0.419,-0.2646539979409968,-0.2256054926634998,0.0342098286468579,0.15334897179888
BFA.5_1,Burkina Faso,0.07122038504984719,0.238931499786556,0.445,0.88,0.898,0.429,0.477,-0.26490352945615436,-0.23345470988390163,0.0557487977877839,0.218613101264455
BFA.6_1,Burkina Faso,0.08258006491360341,0.360950120150274,0.445,0.88,0.954,0.444,0.465,-0.2648898260635108,-0.2359128685217628,0.052208021302013,0.172968760055171
BFA.8_1,Burkina Faso,0.0525772621182198,0.277998270701864,0.445,0.88,0.894,0.326,0.364,-0.2678733798839728,-0.26407642020497857,0.0318118902996538,0.0957380944343217
BFA.9_1,Burkina Faso,0.223220663813151,0.447571664672666,0.445,0.88,0.889,0.467,0.525,-0.255739837632506,-0.21829718784932112,0.125759110462395,0.346605670087032
BFA.10_1,Burkina Faso,0.0548824310166713,0.198429285126433,0.445,0.88,0.898,0.409,0.455,-0.26405194760598916,-0.21780295423536183,0.0573740732625284,0.234032782382062
BFA.11_1,Burkina Faso,0.103205545764877,0.246778724514708,0.445,0.88,0.93,0.419,0.451,-0.25849877824754713,-0.2092343364118528,0.0207190118902228,0.0938865637978648
BFA.12_1,Burkina Faso,0.111562547783171,0.664738087110977,0.445,0.88,0.881,0.258,0.293,-0.26769786159341247,-0.2660150054981776,0.0213630940480953,0.0751492611065649
BFA.13_1,Burkina Faso,0.0518595946572897,0.275953711890014,0.445,0.88,0.847,0.331,0.391,-0.2665632160395565,-0.2525623897037258,0.0526747099890969,0.217507328452895
BDI.1_1,Burundi,0.028754825713254,0.336977840181002,0.423,0.925,0.932,0.457,0.491,-0.2640848888888746,0.0190539212252941,0.0074453908436077,0.0226190812455118
BDI.2_1,Burundi,0.334716173038999,0.722715644805496,0.423,0.925,0.932,0.457,0.491,0.22327401259147872,2.8080573318727526,0.391823246968379,0.623281456327087
BDI.3_1,Burundi,0.0267085413212822,0.200083450589595,0.423,0.925,0.932,0.457,0.491,-0.2576281793408123,0.08210229342446888,0.0100354894627447,0.0263335426794474
BDI.4_1,Burundi,0.0408765731279451,0.236017018221609,0.423,0.925,0.943,0.452,0.479,-0.26626830632607856,-0.09445546115771004,0.0069176742247699,0.0196028797750588
BDI.5_1,Burundi,0.01170235348213529,0.159042326600288,0.423,0.925,0.921,0.397,0.43,-0.2688204397185607,-0.16656164374430818,0.0098344586740279,0.0292570776125013
BDI.6_1,Burundi,0.0146752147211116,0.102115961407704,0.423,0.925,0.932,0.457,0.491,-0.26456576045281527,-0.00179337384176761,0.0053628187424745,0.0197012347316587
BDI.7_1,Burundi,0.0405002351171197,0.263614522664083,0.423,0.925,0.944,0.421,0.446,-0.26121687321686565,0.07417773607511512,0.0127841621099349,0.0353190887128539
BDI.8_1,Burundi,0.0051072437133776,0.342754322627134,0.423,0.925,0.944,0.421,0.446,-0.2682205362692094,5.665232704325958e-4,0.0042466112438474,0.0129800790706176
BDI.9_1,Burundi,0.0160979967022015,0.163588976433822,0.423,0.925,0.92,0.366,0.398,-0.2668040700789414,0.2466985262885614,0.0075975565251226,0.0215726954902194
BDI.10_1,Burundi,0.0160251932914763,0.296811047189782,0.423,0.925,0.92,0.366,0.398,-0.26763854999988707,0.07363934602067088,0.0075459685234128,0.0215433670054613
BDI.11_1,Burundi,0.0177551085771317,0.139942991805547,0.423,0.925,0.943,0.452,0.479,-0.26776165179915545,-0.1265565137204966,0.0065469158377509,0.0214833608692395
BDI.12_1,Burundi,0.0152514445967419,0.164882936698038,0.423,0.925,0.944,0.421,0.446,-0.2666894066815364,0.13072609577163763,0.0087392188363568,0.026487024966497
BDI.13_1,Burundi,0.0103636358431037,0.148156419053521,0.423,0.925,0.92,0.366,0.398,-0.26580580355873157,0.1142764451485604,0.0076065224717762,0.0231695849711342
BDI.14_1,Burundi,0.0146686454743567,0.204430564638017,0.423,0.925,0.944,0.421,0.446,-0.26879632017514105,0.03354295812216026,0.0075826369471138,0.0219579235903067
