_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
3dc08b46-d2c8-42cb-8c0c-bfdade94c154,m,"[18,25)",4,0,1,3,0,1,2+,"[4,7)","[0,6)",charcoal,cement,1,1,no,yes,461071837,Kalemie
64d9980d-fc0f-40fd-9cc4-860992d7c52b,f,"[55,65)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461071845,Kalemie
64d9980d-fc0f-40fd-9cc4-860992d7c52b,f,"[18,25)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461071845,Kalemie
71554c71-867e-4c5f-8ad4-9aebc4d55fc8,f,"[25,35)",6,1,1,4,1,1,2+,"[4,7)","[0,6)",charcoal,cement,1,1,no,yes,461071855,Kalemie
71554c71-867e-4c5f-8ad4-9aebc4d55fc8,f,"[25,35)",6,1,1,4,1,1,2+,"[4,7)","[0,6)",charcoal,cement,1,1,no,yes,461071855,Kalemie
71554c71-867e-4c5f-8ad4-9aebc4d55fc8,m,"[25,35)",6,1,1,4,1,1,2+,"[4,7)","[0,6)",charcoal,cement,1,1,no,yes,461071855,Kalemie
71554c71-867e-4c5f-8ad4-9aebc4d55fc8,f,"[55,65)",6,1,1,4,1,1,2+,"[4,7)","[0,6)",charcoal,cement,1,1,no,yes,461071855,Kalemie
50fe51ba-54d5-4556-94db-729d3ed0644b,m,"[55,65)",8,2,4,2,2+,2+,2+,"[7,10)",7+,wood,earth,0,0,no,yes,461071871,Kalemie
50fe51ba-54d5-4556-94db-729d3ed0644b,m,"[65,100]",8,2,4,2,2+,2+,2+,"[7,10)",7+,wood,earth,0,0,no,yes,461071871,Kalemie
3c82bfda-a13a-4b88-92ec-c735d7c9d8dd,m,"[18,25)",8,0,3,5,0,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461071882,Kalemie
3c82bfda-a13a-4b88-92ec-c735d7c9d8dd,m,"[55,65)",8,0,3,5,0,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461071882,Kalemie
3c82bfda-a13a-4b88-92ec-c735d7c9d8dd,f,"[45,55)",8,0,3,5,0,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461071882,Kalemie
3c82bfda-a13a-4b88-92ec-c735d7c9d8dd,m,"[18,25)",8,0,3,5,0,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461071882,Kalemie
3c82bfda-a13a-4b88-92ec-c735d7c9d8dd,m,"[18,25)",8,0,3,5,0,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461071882,Kalemie
aaaed8f5-2731-4089-b5b2-00169e5e42b4,f,"[55,65)",10,0,5,5,0,2+,2+,10+,7+,charcoal,cement,1,1,yes,yes,461072017,Kalemie
aaaed8f5-2731-4089-b5b2-00169e5e42b4,m,"[65,100]",10,0,5,5,0,2+,2+,10+,7+,charcoal,cement,1,1,yes,yes,461072017,Kalemie
aaaed8f5-2731-4089-b5b2-00169e5e42b4,m,"[25,35)",10,0,5,5,0,2+,2+,10+,7+,charcoal,cement,1,1,yes,yes,461072017,Kalemie
aaaed8f5-2731-4089-b5b2-00169e5e42b4,f,"[18,25)",10,0,5,5,0,2+,2+,10+,7+,charcoal,cement,1,1,yes,yes,461072017,Kalemie
aaaed8f5-2731-4089-b5b2-00169e5e42b4,f,"[25,35)",10,0,5,5,0,2+,2+,10+,7+,charcoal,cement,1,1,yes,yes,461072017,Kalemie
8cdcdfe5-b530-4484-9b2b-af06bf882881,m,"[25,35)",3,0,1,2,0,1,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461072042,Kalemie
8cdcdfe5-b530-4484-9b2b-af06bf882881,f,"[25,35)",3,0,1,2,0,1,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461072042,Kalemie
032326a5-c5d1-40ab-a8a8-174f2f2944bf,f,"[18,25)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072077,Kalemie
032326a5-c5d1-40ab-a8a8-174f2f2944bf,f,"[35,45)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072077,Kalemie
c25d45a8-30a8-4f72-a5c1-20025364fa36,f,"[55,65)",5,0,0,5,0,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072095,Kalemie
c25d45a8-30a8-4f72-a5c1-20025364fa36,m,"[65,100]",5,0,0,5,0,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072095,Kalemie
c25d45a8-30a8-4f72-a5c1-20025364fa36,m,"[35,45)",5,0,0,5,0,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072095,Kalemie
c25d45a8-30a8-4f72-a5c1-20025364fa36,m,"[25,35)",5,0,0,5,0,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072095,Kalemie
